loss_train,loss_val
2.7490198955745404,2.7033489340699925
2.6708837609829166,2.662293625148038
2.6343852611409573,2.6215163406345585
2.612257842678258,2.6094232299888276
2.596771420111665,2.5955269990223666
2.585022302705131,2.5846634985580215
2.5751152275791056,2.5708593468785383
2.5670142294594553,2.5587618706114816
2.5602987047960895,2.5619216854547764
2.554496830759544,2.546718942232761
2.549461746721245,2.54692177602223
2.5448391316677688,2.5453310800790785
2.540593409314718,2.5331140246462653
2.536867397935909,2.5275372488633163
2.5332415930687593,2.532311379782761
2.530106958235494,2.5327905682181937
2.5271089228935986,2.524429164929474
2.524701343430518,2.520810748787544
2.5228711003963418,2.521114348474445
2.5220074613749515,2.5260538835252144
