loss_train,loss_val
2.8444864948387267,2.7778031826019287
2.7454921776476597,2.775653600692749
2.7141102956353724,2.730828285217285
2.6914909592695926,2.653862953186035
2.6767538840107434,2.680926561355591
2.6658506886959756,2.668639659881592
2.6561945856572176,2.664850950241089
2.64704879733247,2.692038059234619
2.639925236475066,2.63454532623291
2.6336329526111957,2.6589972972869873
2.628372810516598,2.631061315536499
2.623240704735909,2.666727304458618
2.618975750988128,2.6281185150146484
2.61484885459501,2.645658254623413
2.6103668133008577,2.636432647705078
2.606658835556659,2.659863233566284
2.6035178895275704,2.652984380722046
2.601016286666955,2.609342098236084
2.5995426167237112,2.617332696914673
2.598246928849742,2.666782855987549
